Row,DorsAtt,FPN,Default,Visual,Limbic,SomMot,Salience
L_PFop_ROI,0.150943396226415,0,0,0,0,0.113207547169811,0.735849056603774
L_PF_ROI,0.190860215053763,0.0376344086021505,0,0,0,0,0.771505376344086
L_PFm_ROI,0,0.772102161100196,0.0550098231827112,0,0,0,0.172888015717092
L_PGi_ROI,0.0162790697674419,0.0116279069767442,0.897674418604651,0,0,0,0.0744186046511628
L_PGs_ROI,0.0131147540983607,0.20655737704918,0.780327868852459,0,0,0,0
L_V6A_ROI,0,0,0,1,0,0,0
L_VMV1_ROI,0,0,0,1,0,0,0
L_VMV3_ROI,0,0,0,1,0,0,0
L_PHA2_ROI,0,0,0.0882352941176471,0.808823529411765,0.102941176470588,0,0
L_V4t_ROI,0,0,0,1,0,0,0
L_FST_ROI,0.908163265306122,0,0,0.0918367346938776,0,0,0
L_V3CD_ROI,0,0,0,1,0,0,0
L_LO3_ROI,0,0,0,1,0,0,0
L_VMV2_ROI,0,0,0,1,0,0,0
L_31pd_ROI,0,0,1,0,0,0,0
L_31a_ROI,0,0.546875,0.375,0,0,0,0.078125
L_VVC_ROI,0,0,0,0.992063492063492,0.00793650793650794,0,0
L_25_ROI,0,0,0.127272727272727,0,0.872727272727273,0,0
L_s32_ROI,0,0,0.740740740740741,0,0.259259259259259,0,0
L_pOFC_ROI,0,0,0,0,0.987179487179487,0,0
L_PoI1_ROI,0,0,0,0,0,0.279220779220779,0.720779220779221
L_Ig_ROI,0,0,0,0,0,1,0
L_FOP5_ROI,0,0.036231884057971,0,0,0,0,0.963768115942029
L_p10p_ROI,0,0.718181818181818,0.254545454545455,0,0.0272727272727273,0,0
L_p47r_ROI,0,0.767441860465116,0.0465116279069767,0,0,0,0.186046511627907
L_TGv_ROI,0,0,0,0,1,0,0
L_MBelt_ROI,0,0,0,0,0,0.989010989010989,0.010989010989011
L_LBelt_ROI,0,0,0,0,0,1,0
L_A4_ROI,0,0,0,0,0,1,0
L_STSva_ROI,0,0,1,0,0,0,0
L_TE1m_ROI,0,0.0882352941176471,0.911764705882353,0,0,0,0
L_PI_ROI,0,0,0,0,0.146153846153846,0.0307692307692308,0.823076923076923
L_a32pr_ROI,0,0.71875,0.09375,0,0,0,0.1875
L_p24_ROI,0,0.137931034482759,0.862068965517241,0,0,0,0
